gw,player_id,name,team,position,position_id,cost,prob_of_appearing,xp,squad,lineup,captain,vice_captain,transfer_in,transfer_out
25,5,Gabriel,ARS,DEF,2,5.0,0.93,4.75,1.0,1.0,0.0,0.0,0.0,0.0
25,129,Dunk,BHA,DEF,2,5.0,0.94,3.46,1.0,1.0,0.0,0.0,0.0,0.0
25,308,Salah,LIV,MID,3,13.0,0.91,14.37,1.0,1.0,1.0,0.0,1.0,0.0
25,19,Saka,ARS,MID,3,9.0,0.94,6.18,1.0,1.0,0.0,0.0,0.0,0.0
25,664,Ward-Prowse,WHU,MID,3,6.0,0.94,5.68,1.0,1.0,0.0,0.0,0.0,0.0
25,14,Ødegaard,ARS,MID,3,8.5,0.93,5.55,1.0,1.0,0.0,0.0,0.0,0.0
25,526,Bowen,WHU,MID,3,8.0,0.94,5.22,1.0,1.0,0.0,0.0,0.0,0.0
25,117,Toney,BRE,FWD,4,8.1,0.94,10.36,1.0,1.0,0.0,1.0,0.0,0.0
25,343,J.Alvarez,MCI,FWD,4,6.9,0.94,9.07,1.0,1.0,0.0,0.0,0.0,0.0
25,275,Leno,FUL,GKP,1,4.8,0.95,3.7,1.0,0.0,0.0,0.0,0.0,0.0
25,369,Walker,MCI,DEF,2,5.5,0.79,7.53,1.0,0.0,0.0,0.0,0.0,0.0
25,342,Aké,MCI,DEF,2,5.0,0.88,7.36,1.0,0.0,0.0,0.0,0.0,0.0
25,590,Cunha,WOL,FWD,4,5.7,0.94,4.72,1.0,0.0,0.0,0.0,1.0,0.0
25,126,Caicedo,CHE,MID,3,4.5,0.9,2.58,0.0,0.0,0.0,0.0,0.0,1.0
25,60,Watkins,AVL,FWD,4,8.8,0.94,5.29,0.0,0.0,0.0,0.0,0.0,1.0
26,275,Leno,FUL,GKP,1,4.8,0.95,3.84,1.0,1.0,0.0,0.0,0.0,0.0
26,5,Gabriel,ARS,DEF,2,5.0,0.93,4.21,1.0,1.0,0.0,0.0,0.0,0.0
26,129,Dunk,BHA,DEF,2,5.0,0.94,4.03,1.0,1.0,0.0,0.0,0.0,0.0
26,112,Pinnock,BRE,DEF,2,4.6,0.94,3.43,1.0,1.0,0.0,0.0,0.0,0.0
26,19,Saka,ARS,MID,3,9.0,0.94,6.63,1.0,1.0,1.0,0.0,0.0,0.0
26,373,B.Fernandes,MUN,MID,3,8.2,0.91,6.14,1.0,1.0,0.0,1.0,1.0,0.0
26,14,Ødegaard,ARS,MID,3,8.5,0.93,6.01,1.0,1.0,0.0,0.0,0.0,0.0
26,664,Ward-Prowse,WHU,MID,3,6.0,0.94,5.54,1.0,1.0,0.0,0.0,0.0,0.0
26,526,Bowen,WHU,MID,3,8.0,0.94,5.31,1.0,1.0,0.0,0.0,0.0,0.0
26,117,Toney,BRE,FWD,4,8.1,0.94,5.76,1.0,1.0,0.0,0.0,0.0,0.0
26,590,Cunha,WOL,FWD,4,5.7,0.94,4.7,1.0,1.0,0.0,0.0,0.0,0.0
26,101,Flekken,BRE,GKP,1,4.5,0.95,3.38,1.0,0.0,0.0,0.0,0.0,0.0
26,342,Aké,MCI,DEF,2,5.0,0.88,3.9,1.0,0.0,0.0,0.0,0.0,0.0
26,369,Walker,MCI,DEF,2,5.5,0.79,3.88,1.0,0.0,0.0,0.0,0.0,0.0
26,343,J.Alvarez,MCI,FWD,4,6.9,0.94,4.52,1.0,0.0,0.0,0.0,0.0,0.0
26,308,Salah,LIV,MID,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,275,Leno,FUL,GKP,1,4.8,0.95,3.74,1.0,1.0,0.0,0.0,0.0,0.0
27,5,Gabriel,ARS,DEF,2,5.0,0.93,4.0,1.0,1.0,0.0,0.0,0.0,0.0
27,129,Dunk,BHA,DEF,2,5.0,0.94,3.59,1.0,1.0,0.0,0.0,0.0,0.0
27,112,Pinnock,BRE,DEF,2,4.6,0.94,3.43,1.0,1.0,0.0,0.0,0.0,0.0
27,308,Salah,LIV,MID,3,13.0,0.93,7.37,1.0,1.0,1.0,0.0,1.0,0.0
27,19,Saka,ARS,MID,3,9.0,0.94,6.33,1.0,1.0,0.0,1.0,0.0,0.0
27,14,Ødegaard,ARS,MID,3,8.5,0.93,5.79,1.0,1.0,0.0,0.0,0.0,0.0
27,664,Ward-Prowse,WHU,MID,3,6.0,0.94,5.18,1.0,1.0,0.0,0.0,0.0,0.0
27,373,B.Fernandes,MUN,MID,3,8.2,0.91,4.9,1.0,1.0,0.0,0.0,0.0,0.0
27,117,Toney,BRE,FWD,4,8.1,0.94,5.27,1.0,1.0,0.0,0.0,0.0,0.0
27,343,J.Alvarez,MCI,FWD,4,6.9,0.94,4.61,1.0,1.0,0.0,0.0,0.0,0.0
27,101,Flekken,BRE,GKP,1,4.5,0.95,3.73,1.0,0.0,0.0,0.0,0.0,0.0
27,342,Aké,MCI,DEF,2,5.0,0.88,3.95,1.0,0.0,0.0,0.0,0.0,0.0
27,369,Walker,MCI,DEF,2,5.5,0.79,3.93,1.0,0.0,0.0,0.0,0.0,0.0
27,590,Cunha,WOL,FWD,4,5.7,0.94,4.5,1.0,0.0,0.0,0.0,0.0,0.0
27,526,Bowen,WHU,MID,3,8.0,0.94,5.1,0.0,0.0,0.0,0.0,0.0,1.0
28,275,Leno,FUL,GKP,1,4.8,0.95,3.87,1.0,1.0,0.0,0.0,0.0,0.0
28,5,Gabriel,ARS,DEF,2,5.0,0.93,4.46,1.0,1.0,0.0,0.0,0.0,0.0
28,228,Guéhi,CRY,DEF,2,4.4,0.94,3.97,1.0,1.0,0.0,0.0,1.0,0.0
28,129,Dunk,BHA,DEF,2,5.0,0.94,3.91,1.0,1.0,0.0,0.0,0.0,0.0
28,308,Salah,LIV,MID,3,13.0,0.93,6.57,1.0,1.0,1.0,0.0,0.0,0.0
28,19,Saka,ARS,MID,3,9.0,0.94,6.23,1.0,1.0,0.0,1.0,0.0,0.0
28,373,B.Fernandes,MUN,MID,3,8.2,0.91,6.07,1.0,1.0,0.0,0.0,0.0,0.0
28,14,Ødegaard,ARS,MID,3,8.5,0.93,5.75,1.0,1.0,0.0,0.0,0.0,0.0
28,664,Ward-Prowse,WHU,MID,3,6.0,0.94,5.59,1.0,1.0,0.0,0.0,0.0,0.0
28,590,Cunha,WOL,FWD,4,5.7,0.94,5.13,1.0,1.0,0.0,0.0,0.0,0.0
28,117,Toney,BRE,FWD,4,8.1,0.94,4.78,1.0,1.0,0.0,0.0,0.0,0.0
28,101,Flekken,BRE,GKP,1,4.5,0.95,3.55,1.0,0.0,0.0,0.0,0.0,0.0
28,112,Pinnock,BRE,DEF,2,4.6,0.94,2.98,1.0,0.0,0.0,0.0,0.0,0.0
28,369,Walker,MCI,DEF,2,5.5,0.79,2.6,1.0,0.0,0.0,0.0,0.0,0.0
28,343,J.Alvarez,MCI,FWD,4,6.9,0.94,4.1,1.0,0.0,0.0,0.0,0.0,0.0
28,342,Aké,MCI,DEF,2,5.0,0.88,2.52,0.0,0.0,0.0,0.0,0.0,1.0
