id,web_name,position,element_type,team,gw_current,gw_next,now_cost,ep_next,chance_of_playing_next_round,in_lineup,is_captain,is_vice_captain
524,Areola,GKP,1,West Ham,21,22,42,8.0,100.0,1,0,0
321,Doughty,DEF,2,Luton,21,22,45,7.0,100.0,1,0,0
676,Mavropanos,DEF,2,West Ham,21,22,45,7.0,100.0,1,0,0
5,Gabriel,DEF,2,Arsenal,21,22,50,5.8,75.0,1,0,0
532,Emerson,DEF,2,West Ham,21,22,46,5.5,100.0,1,0,0
344,Bernardo,MID,3,Man City,21,22,65,9.0,100.0,1,0,1
294,Diogo J.,MID,3,Liverpool,21,22,78,8.5,100.0,1,0,0
362,Palmer,MID,3,Chelsea,21,22,58,6.7,100.0,1,0,0
365,Rodrigo,MID,3,Man City,21,22,56,6.3,100.0,1,0,0
468,Wood,FWD,4,Nott'm Forest,21,22,49,9.0,100.0,1,1,0
85,Solanke,FWD,4,Bournemouth,21,22,71,6.8,100.0,1,0,0
53,Olsen,GKP,1,Aston Villa,21,22,39,-0.5,100.0,0,0,0
473,Baldock,DEF,2,Sheffield Utd,21,22,38,-0.2,100.0,0,0,0
196,Chukwuemeka,MID,3,Chelsea,21,22,42,-0.3,100.0,0,0,0
490,Osula,FWD,4,Sheffield Utd,21,22,43,1.8,100.0,0,0,0
