id,web_name,position,element_type,team,now_cost,ep_next,chance_of_playing_next_round,in_lineup,is_captain,is_vice_captain
524,Areola,GKP,1,19,42,8.0,100.0,1,0,0
676,Mavropanos,DEF,2,19,45,7.3,100.0,1,0,0
321,Doughty,DEF,2,12,45,6.5,100.0,1,0,0
298,Gomez,DEF,2,11,45,6.2,100.0,1,0,0
344,Bernardo,MID,3,13,65,9.0,100.0,1,0,1
12,Martinelli,MID,3,1,77,7.5,100.0,1,0,0
362,Palmer,MID,3,7,58,6.7,100.0,1,0,0
396,Rashford,MID,3,14,84,6.3,100.0,1,0,0
294,Diogo J.,MID,3,11,78,11.2,100.0,1,1,0
468,Wood,FWD,4,16,49,8.5,100.0,1,0,0
415,Isak,FWD,4,15,76,6.8,100.0,1,0,0
49,Martinez,GKP,1,2,52,3.5,100.0,0,0,0
160,Beyer,DEF,2,6,40,-0.2,75.0,0,0,0
584,Pau,DEF,2,2,47,-0.2,75.0,0,0,0
340,Woodrow,FWD,4,12,43,-0.2,100.0,0,0,0
